"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"52","M0401","M","4","1","Alopurinol","Comprimido","300 mg","M04AA01","","0.745","","True",""
"53","N0501","N","5","1","Alprazolam","Comprimido ranurado","0,5 mg","N05BA12","","0.94","","True",""
"54","J0201","J","2","1","Amfotericina B","Inyectable","50 mg","J02AA01","","201.16","","True",""
"55","J0104","J","1","4","Amikacina","Inyectable","500mg /2 ml","J01GB06","","8.5953108202851141","2 ml","True",""
"56","B0503","B","5","3","Aminoácidos","Solución parenteral de gran volumen","0.1","B05BA01","","176.69699085773749","500ml","True",""
"57","R0301","R","3","1","Aminofilina","Inyectable","250 mg / 10 ml","R03DA05","","8.1199999999999992","","True",""
"58","R0302","R","3","2","Aminofilina","Comprimido","200 mg","R03DA05","","1","","True",""
"59","C0102","C","1","2","Amiodarona (clorhidrato)","Comprimido","200 mg","C01BD01","","3.6649313207118084","","True",""
"60","C0103","C","1","3","Amiodarona (clorhidrato)","Inyectable","50 mg/ml","C01BD01","","10.94","","True",""
"61","N0601","N","6","1","Amitriptilina","Comprimido ranurado","25 mg","N06AA09","","0.64500000000000002","","True",""
"62","C0807","C","8","7","Amlodipina","Comprimido","10 mg","C08CA01","","1.3351327333333249","","True",""
"63","J0105","J","1","5","Amoxicilina","Comprimido","1 g","J01CA04","","1.7050000000000001","1 g","True",""
"64","J0106","J","1","6","Amoxicilina","Comprimido","500 mg","J01CA05","","0.78","","True",""
"65","J0108","J","1","8","Amoxicilina","Inyectable","1 g","J01CA06","","8.2561615383814946","","True",""
"66","J0157","J","1","57","Amoxicilina","Suspensión","500 mg/5 ml","J01CA07","","17.91","60 ml","True",""
"67","J0109","J","1","9","Amoxicilina + inhibidor betalactamasa","Comprimido","500 mg + Según disponibilidad","J01CR02","","6.36","500 Mg/125 Mg","True",""
"68","J0110","J","1","10","Amoxicilina + inhibidor betalactamasa","Suspensión","250 mg + Según disponibilidad","J01CR02","","75.335000000000008","100 ml","True",""
"69","J0111","J","1","11","Amoxicilina + inhibidor betalactamasa","Inyectable","1 g + Según disponibilidad","J01CR02","","48","1 g + 500 Mg","True",""
"70","J0171","J","1","71","Amoxicilina + inhibidor betalactamasa","Comprimido","875 mg + Según disponibilidad","J01CR03","","9.5850000000000009","","True",""
"71","J0112","J","1","12","Ampicilina","Inyectable","1 g","J01CA01","","7.8710975917567403","","True",""
"72","L0201","L","2","1","Anastrozol","Comprimido","1 mg","L02BG03","","10.448809523809524","","True",""
"73","R0501","R","5","1","Antigripal (Paracetamol + Antihistamínico + Vasoconstrictor con o sin Cafeína)","Comprimido","Según disponibilidad","R05X**","","0.72","","True",""
"74","J0601","J","6","1","Antitóxina tetánica","Inyectable","Norma PAI según disponibilidad","J06AA02","","50.24","","True",""
"75","N0515","N","5","15","Aripiprazol","Comprimido","10 mg","N05AX12","R","10.3025","","True",""
"76","N0516","N","5","16","Aripiprazol","Comprimido","15 mg","N05AX12","R","11.342499999999999","","True",""
"77","P0123","P","1","23","Artemeter + Lumefantrina","Comprimido","20 mg + 120 mg","P01BF01","","0.3","","True",""
"78","P0101","P","1","1","Artesunato","Comprimido","50 mg","P01BE03","","3.67","","True",""
"79","P0124","P","1","24","Artesunato","Inyectable","60 mg","P01BE03","","3.31","","True",""
"80","P0121","P","1","21","Artesunato + Mefloquina","Comprimido","25 mg + 55 mg","P01BE03","","1.1499999999999999","","True",""
"81","P0122","P","1","22","Artesunato + Mefloquina","Comprimido","100 mg + 220 mg","P01BE03","","2.33","","True",""
"82","L0121","L","1","21","Asparaginasa","Inyectable","10.000 UI","L01XX02","","1626.25","","True",""
"83","J0531","J","5","31","Atazanavir (sulfato)","Cápsula o Comprimido","300 mg","J05AE08","R","7.47","","True",""
"84","J0539","J","5","39","Atazanavir + Ritonavir","Cápsula o Comprimido","300 mg + 100 mg","J05AR**","","6.07","","True",""
"85","C0701","C","7","1","Atenolol","Comprimido ranurado","100 mg","C07AB03","","0.625","","True",""
"86","C1001","C","10","1","Atorvastatina","Comprimido","10 mg","C10AA05","","1.4217363071710896","","True",""
"87","C1005","C","10","5","Atorvastatina","Comprimido","20 mg","C10AA05","","1.17","","True",""
"88","M0301","M","3","1","Atracurio besilato","Inyectable","10 mg/ml","M03AC04","","27","","True",""
"89","A0301","A","3","1","Atropina sulfato","Inyectable","1 mg/ml","A03BA01","","3.63","","True",""
"90","S0102","S","1","2","Atropina sulfato","Solución oftálmica","0.01","S01FA01","","29.6","","True",""
"91","L0401","L","4","1","Azatioprina","Comprimido","50 mg","L04AX01","","2.8499999999999996","","True",""
"92","L0402","L","4","2","Azatioprina","Inyectable","20 mg/ml","L04AX01","","214.77","","True",""
"93","J0113","J","1","13","Azitromicina","Comprimido","500 mg","J01FA10","","7.8273820930216882","","True",""
"94","J0162","J","1","62","Azitromicina","Suspensión","200 mg/5 ml","J01FA10","","32.11","30 ml","True",""
"95","D0102","D","1","2","Bacitracina + Neomicina sulfato","Crema o Pomada","500 UI + 5 mg/g","D01AA20","","10.60349964755002","10 g","True",""
"96","L0409","L","4","9","Basiliximab","Polvo para inyectable","20 mg","L04AA09","R","16013.62","","True",""
"97","R0303","R","3","3","Beclometasona dipropionato","Aerosol","50 mcg/inhalación","R03BA01","","88.65228321863421","200 dósis","True",""
"98","J0418","J","4","18","Bedaquilina","Comprimido","100 mg","J04AK05","","53.05","","True",""
"99","J0114","J","1","14","Bencilpenicilina benzatínica","Inyectable","600.000 UI","J01CE08","","5.09","","True",""
"100","J0115","J","1","15","Bencilpenicilina benzatínica","Inyectable","1.200.000 UI","J01CE09","","6","","True",""
"101","J0116","J","1","16","Bencilpenicilina benzatínica","Inyectable","2.400.000 UI","J01CE10","","13.243018186629964","","True",""
"102","J0117","J","1","17","Bencilpenicilina procaínica","Inyectable","400.000 UI","J01CE09","","5.83","","True",""
"103","J0118","J","1","18","Bencilpenicilina procaínica","Inyectable","800.000 UI","J01CE10","","6.84","","True",""
"104","J0119","J","1","19","Bencilpenicilina sódica","Inyectable","1.000.000 UI","J01CE01","","5.4","","True",""
"105","J0120","J","1","20","Bencilpenicilina sódica","Inyectable","30.000.000 UI","J01CE01","","35.6","","True",""
"106","P0102","P","1","2","Benznidazol","Comprimido","100 mg","P01CA02","","8.5350000000000001","","True",""
"107","P0125","P","1","25","Benznidazol","Comprimido","12,5 mg","P01CA02","","1.07","","True",""
"108","P0128","P","1","28","Benznidazol","Comprimido","50 mg","P01CA02","","4.1500000000000004","","True",""
"109","P0301","P","3","1","Benzoato de bencilo","Solución o Loción","20% o 25%","P03AX01","","10.25","100 ml","True",""
"110","H0201","H","2","1","Betametasona (fosfato)","Inyectable","4 mg","H02AB01","","11.836874999999999","","True",""
"111","D0701","D","7","1","Betametasona (valerato)","Crema o Pomada","0,1%","D07AC01","","9.48","15 g","True",""
"112","L0136","L","1","36","Bevacizumab","Inyectable","25 mg/ml","L01XC07","","4517.9885625000006","","True",""
